7.7571 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1920, 1080]. Using actual size
18.0070 	EXP 	New trial (rep=0, index=1): OrderedDict([('S1', 'was'), ('S2', 'was')])
18.0185 	EXP 	text_2: autoDraw = False
18.0185 	EXP 	text_2: text = 'was'
18.0185 	EXP 	text_2: autoDraw = True
19.0895 	EXP 	New trial (rep=0, index=2): OrderedDict([('S1', 'too'), ('S2', 'too')])
19.0945 	DATA 	Keypress: space
19.1018 	EXP 	text_2: autoDraw = False
19.1018 	EXP 	text_2: text = 'too'
19.1018 	EXP 	text_2: autoDraw = True
19.4575 	DATA 	Keypress: space
19.4726 	EXP 	New trial (rep=0, index=3): OrderedDict([('S1', 'hot'), ('S2', 'hot')])
19.4851 	EXP 	text_2: autoDraw = False
19.4851 	EXP 	text_2: text = 'hot'
19.4851 	EXP 	text_2: autoDraw = True
19.8066 	EXP 	New trial (rep=0, index=4): OrderedDict([('S1', 'to'), ('S2', 'to ')])
19.8115 	DATA 	Keypress: space
19.8185 	EXP 	text_2: autoDraw = False
19.8185 	EXP 	text_2: text = 'to '
19.8185 	EXP 	text_2: autoDraw = True
20.1066 	DATA 	Keypress: space
20.1227 	EXP 	New trial (rep=0, index=5): OrderedDict([('S1', 'drink'), ('S2', 'drink')])
20.1351 	EXP 	text_2: autoDraw = False
20.1351 	EXP 	text_2: text = 'drink'
20.1351 	EXP 	text_2: autoDraw = True
20.4069 	EXP 	New trial (rep=0, index=6): OrderedDict([('S1', 'so'), ('S2', 'so ')])
20.4115 	DATA 	Keypress: space
20.4185 	EXP 	text_2: autoDraw = False
20.4185 	EXP 	text_2: text = 'so '
20.4185 	EXP 	text_2: autoDraw = True
20.6727 	EXP 	New trial (rep=0, index=7): OrderedDict([('S1', 'we'), ('S2', 'we')])
20.6775 	DATA 	Keypress: space
20.6853 	EXP 	text_2: autoDraw = False
20.6853 	EXP 	text_2: text = 'we'
20.6853 	EXP 	text_2: autoDraw = True
20.9395 	EXP 	New trial (rep=0, index=8): OrderedDict([('S1', 'let'), ('S2', 'let')])
20.9434 	DATA 	Keypress: space
20.9519 	EXP 	text_2: autoDraw = False
20.9519 	EXP 	text_2: text = 'let'
20.9519 	EXP 	text_2: autoDraw = True
21.2066 	EXP 	New trial (rep=0, index=9): OrderedDict([('S1', 'it'), ('S2', 'it')])
21.2117 	DATA 	Keypress: space
21.2186 	EXP 	text_2: autoDraw = False
21.2186 	EXP 	text_2: text = 'it'
21.2186 	EXP 	text_2: autoDraw = True
21.4727 	EXP 	New trial (rep=0, index=10): OrderedDict([('S1', 'cool'), ('S2', 'cool')])
21.4775 	DATA 	Keypress: space
21.4852 	EXP 	text_2: autoDraw = False
21.4852 	EXP 	text_2: text = 'cool'
21.4852 	EXP 	text_2: autoDraw = True
21.7566 	EXP 	New trial (rep=0, index=11): OrderedDict([('S1', 'down'), ('S2', 'down')])
21.7615 	DATA 	Keypress: space
21.7686 	EXP 	text_2: autoDraw = False
21.7686 	EXP 	text_2: text = 'down'
21.7686 	EXP 	text_2: autoDraw = True
22.0895 	EXP 	New trial (rep=1, index=0): OrderedDict([('S1', 'coffee'), ('S2', 'pizza')])
22.0956 	DATA 	Keypress: space
22.1019 	EXP 	text_2: autoDraw = False
22.1019 	EXP 	text_2: text = 'pizza'
22.1019 	EXP 	text_2: autoDraw = True
22.6565 	DATA 	Keypress: space
23.7235 	EXP 	New trial (rep=1, index=1): OrderedDict([('S1', 'was'), ('S2', 'was')])
23.7285 	DATA 	Keypress: space
23.7354 	EXP 	text_2: autoDraw = False
23.7354 	EXP 	text_2: text = 'was'
23.7354 	EXP 	text_2: autoDraw = True
24.1735 	DATA 	Keypress: space
24.1895 	EXP 	New trial (rep=1, index=2): OrderedDict([('S1', 'too'), ('S2', 'too')])
24.2021 	EXP 	text_2: autoDraw = False
24.2021 	EXP 	text_2: text = 'too'
24.2021 	EXP 	text_2: autoDraw = True
24.4897 	EXP 	New trial (rep=1, index=3): OrderedDict([('S1', 'hot'), ('S2', 'hot')])
24.4945 	DATA 	Keypress: space
24.5020 	EXP 	text_2: autoDraw = False
24.5020 	EXP 	text_2: text = 'hot'
24.5020 	EXP 	text_2: autoDraw = True
24.7395 	EXP 	New trial (rep=1, index=4): OrderedDict([('S1', 'to'), ('S2', 'to ')])
24.7444 	DATA 	Keypress: space
24.7521 	EXP 	text_2: autoDraw = False
24.7521 	EXP 	text_2: text = 'to '
24.7521 	EXP 	text_2: autoDraw = True
24.9240 	DATA 	Keypress: space
24.9396 	EXP 	New trial (rep=1, index=5): OrderedDict([('S1', 'drink'), ('S2', 'drink')])
24.9520 	EXP 	text_2: autoDraw = False
24.9520 	EXP 	text_2: text = 'drink'
24.9520 	EXP 	text_2: autoDraw = True
25.1236 	EXP 	New trial (rep=1, index=6): OrderedDict([('S1', 'so'), ('S2', 'so ')])
25.1285 	DATA 	Keypress: space
25.1354 	EXP 	text_2: autoDraw = False
25.1354 	EXP 	text_2: text = 'so '
25.1354 	EXP 	text_2: autoDraw = True
25.3226 	EXP 	New trial (rep=1, index=7): OrderedDict([('S1', 'we'), ('S2', 'we')])
25.3274 	DATA 	Keypress: space
25.3354 	EXP 	text_2: autoDraw = False
25.3354 	EXP 	text_2: text = 'we'
25.3354 	EXP 	text_2: autoDraw = True
25.4895 	DATA 	Keypress: space
25.5065 	EXP 	New trial (rep=1, index=8): OrderedDict([('S1', 'let'), ('S2', 'let')])
25.5187 	EXP 	text_2: autoDraw = False
25.5187 	EXP 	text_2: text = 'let'
25.5187 	EXP 	text_2: autoDraw = True
25.6736 	EXP 	New trial (rep=1, index=9): OrderedDict([('S1', 'it'), ('S2', 'it')])
25.6786 	DATA 	Keypress: space
25.6854 	EXP 	text_2: autoDraw = False
25.6854 	EXP 	text_2: text = 'it'
25.6854 	EXP 	text_2: autoDraw = True
25.8564 	DATA 	Keypress: space
26.0395 	EXP 	New trial (rep=1, index=10): OrderedDict([('S1', 'cool'), ('S2', 'cool')])
26.0445 	DATA 	Keypress: space
26.0519 	EXP 	text_2: autoDraw = False
26.0519 	EXP 	text_2: text = 'cool'
26.0519 	EXP 	text_2: autoDraw = True
26.2065 	EXP 	New trial (rep=1, index=11): OrderedDict([('S1', 'down'), ('S2', 'down')])
26.2118 	DATA 	Keypress: space
26.2187 	EXP 	text_2: autoDraw = False
26.2187 	EXP 	text_2: text = 'down'
26.2187 	EXP 	text_2: autoDraw = True
26.4066 	EXP 	New trial (rep=2, index=0): OrderedDict([('S1', 'coffee'), ('S2', 'pizza')])
26.4125 	DATA 	Keypress: space
26.4187 	EXP 	text_2: autoDraw = False
26.4187 	EXP 	text_2: text = 'pizza'
26.4187 	EXP 	text_2: autoDraw = True
26.6237 	EXP 	New trial (rep=2, index=1): OrderedDict([('S1', 'was'), ('S2', 'was')])
26.6287 	DATA 	Keypress: space
26.6354 	EXP 	text_2: autoDraw = False
26.6354 	EXP 	text_2: text = 'was'
26.6354 	EXP 	text_2: autoDraw = True
26.7736 	EXP 	New trial (rep=2, index=2): OrderedDict([('S1', 'too'), ('S2', 'too')])
26.7785 	DATA 	Keypress: space
26.7854 	EXP 	text_2: autoDraw = False
26.7854 	EXP 	text_2: text = 'too'
26.7854 	EXP 	text_2: autoDraw = True
26.9406 	DATA 	Keypress: space
26.9565 	EXP 	New trial (rep=2, index=3): OrderedDict([('S1', 'hot'), ('S2', 'hot')])
26.9687 	EXP 	text_2: autoDraw = False
26.9687 	EXP 	text_2: text = 'hot'
26.9687 	EXP 	text_2: autoDraw = True
27.0895 	EXP 	New trial (rep=2, index=4): OrderedDict([('S1', 'to'), ('S2', 'to ')])
27.0945 	DATA 	Keypress: space
27.1021 	EXP 	text_2: autoDraw = False
27.1021 	EXP 	text_2: text = 'to '
27.1021 	EXP 	text_2: autoDraw = True
27.2725 	EXP 	New trial (rep=2, index=5): OrderedDict([('S1', 'drink'), ('S2', 'drink')])
27.2775 	DATA 	Keypress: space
27.2854 	EXP 	text_2: autoDraw = False
27.2854 	EXP 	text_2: text = 'drink'
27.2854 	EXP 	text_2: autoDraw = True
27.4406 	EXP 	New trial (rep=2, index=6): OrderedDict([('S1', 'so'), ('S2', 'so ')])
27.4456 	DATA 	Keypress: space
27.4520 	EXP 	text_2: autoDraw = False
27.4520 	EXP 	text_2: text = 'so '
27.4520 	EXP 	text_2: autoDraw = True
27.6564 	DATA 	Keypress: escape
27.8685 	EXP 	window1: mouseVisible = True
